Username,Nickname,Messages,Tokens
"bcjordan#3719","bcjordan",3,379.3270263697335
"gbourgeo#9159","gbourgeo",3,379.3270263697335
"cheesntoast#9139","cheesntoast",3,379.3270263697335
"!        .NPNG#7327","!        .NPNG",3,379.3270263697335
"santamiura#2281","santamiura",3,379.3270263697335
"Vaibhav#0125","Vaibhav",3,379.3270263697335
"hotkartoffel#2160","ben | DAOnative",3,379.3270263697335
"→ 𝗗𝗔𝗡𝗜𝗘𝗟 ←#0001","→ 𝗗𝗔𝗡𝗜𝗘𝗟 ←",3,379.3270263697335
"Proharvester#9362","Proharvester",3,379.3270263697335
"dantone#7133","dantone",3,379.3270263697335
"fanahova.eth#4314","fanahova.eth",3,379.3270263697335
"Getmegone#2897","Getmegone",3,379.3270263697335
"MiniCooper#8532","MiniCooper",3,379.3270263697335
"Deleted#7465","Deleted",3,379.3270263697335
"reallymemorable#8178","reallymemorable",3,379.3270263697335
"ddd4#1888","ddd4",3,379.3270263697335
"bora#4827","bora",3,379.3270263697335
"techster.amman#7162","techster.amman",3,379.3270263697335
"cattopillo#6742","cattopillo",3,379.3270263697335
"codesherpa#8623","codesherpa",3,379.3270263697335
"bc2344#6635","bc2344",3,379.3270263697335
"unhappiimochii#5533","unhappiimochii",3,379.3270263697335
"ch#4688","ch",3,379.3270263697335
"distank#7705","distank",3,379.3270263697335
"toripapa#2496","toripapa",3,379.3270263697335
"Jacopo | Slice.so#9445","Jacopo | Slice.so",3,379.3270263697335
"rishi#7757","rishi",3,379.3270263697335
"JLByrne#8017","JLByrne",3,379.3270263697335
"!Googol#3462","!Googol",3,379.3270263697335
"nftwei#0592","nftwei",3,379.3270263697335
"aiaone#5204","aiaone",3,379.3270263697335
"Thomas#0444","Thomas",3,379.3270263697335
"mkjkk#5675","mkjkk",3,379.3270263697335
"cog#0300","cog",3,379.3270263697335
"rw#1111","! Metacommerce | Ryan",3,379.3270263697335
"Cartman#0420","Cartman",3,379.3270263697335
"viola#0421","viola",3,379.3270263697335
"Rocknrostov#0681","Rocknrostov",3,379.3270263697335
"ДмитрийДМ#7575","ДмитрийДМ",3,379.3270263697335
"veter.dsgn#4583","veter.dsgn",3,379.3270263697335
"Ildar#4846","Ildar",3,379.3270263697335
